"","x"
"1",0.009610888
"2",0.019760856
"3",0.03036436
"4",0.039152616
"5",0.185673464
"6",0.08117836
"7",0.08006592
"8",0.07244576
"9",0.09076676
"10",0.020575592
"11",0.03889204
"12",0.03608636
"13",0.026189456
"14",0.099701704
"15",0.07280936
"16",0.086764224
"17",0.100848248
"18",0.06269168
"19",0.043433512
"20",0.047080448
"21",0.05083736
"22",0.042420504
"23",0.050655432
"24",0.036960632
"25",0.0399142
"26",0.09559192
"27",0.012715176
"28",0.050944912
"29",0.048949408
"30",0.050879768
"31",0.08524468
"32",0.073870888
"33",0.093876528
"34",0.082147624
"35",0.079503592
"36",0.034281744
"37",0.033615808
"38",0.037120328
"39",0.5
"40",0.03750256
"41",0.043446888
"42",0.078267384
"43",0.067539352
"44",0.047098976
"45",0.039765944
"46",0.161673368
"47",0.076102984
"48",0.079838408
"49",0.07484064
"50",0.02530388
"51",0.02656716
"52",0.05812408
"53",0.078336992
"54",0.023229704
"55",0.02395092
"56",0.058224856
"57",0.107941736
"58",0.020927896
"59",0.056359616
"60",0.074839744
"61",0.07674348
"62",0.072793984
"63",0.053433912
"64",0.017287728
"65",0.5
"66",0.03688676
"67",0.035851248
"68",0.086986984
"69",0.03611116
"70",0.058931352
"71",0.03566984
"72",0.081184496
"73",0.043691808
"74",0.045472944
"75",0.057825624
"76",0.03759796
"77",0.026805448
"78",0.07734828
"79",0.064634488
"80",0.059287232
"81",0.034977936
"82",0.0292896
"83",0.04512396
"84",0.014579112
"85",0.046253712
"86",0.0901684
"87",0.02588012
"88",0.035893224
"89",0.048717392
"90",0.046883408
"91",0.064267608
"92",0.04133276
"93",0.026547328
"94",0.037680944
"95",0.040963248
"96",0.047352168
"97",0.047857368
"98",0.074994144
"99",0.063538968
"100",0.066353408
"101",0.076234624
"102",0.0534536
"103",0.06904036
"104",0.050706992
"105",0.038922448
"106",0.028279632
"107",0.094851896
"108",0.073310456
"109",0.026312496
"110",0.5
"111",0.042290152
"112",0.343179608
"113",0.211483256
"114",0.070349376
"115",0.173607448
"116",0.030345936
"117",0.015800048
"118",0.078287904
"119",0.433745528
"120",0.08707828
