"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156"
"1","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing"
"2","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10"
"3","10","10","10","10","10","10","10","10","10","10","10","10","20","20","20","20","20","20","20","20","20","20","20","20","30","30","30","30","30","30","30","30","30","30","30","30","40","40","40","40","40","40","40","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","50","50","60","60","60","60","60","60","60","60","60","60","60","60","70","70","70","70","70","70","70","70","70","70","70","70","80","80","80","80","80","80","80","80","80","80","80","80","90","90","90","90","90","90","90","90","90","90","90","90","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","110","110","110","120","120","120","120","120","120","120","120","120","120","120","120","121","121","121","121","121","121","121","121","121","121","121","121"
"4","1","1","0","0","0.340776014109347","0.491869488536155","0.820987654320988","0.876543209876543","0.905925925925926","0.933333333333333","0.502786596119929","0.596798941798942","0.899298245614035","1","0.0740740740740741","0.0388888888888889","0.317886927886928","0.526907178075909","0.752384665367121","0.874736842105263","0.598146523716699","0.725740167411994","0.658328077819822","0.578856591369491","0.747666686938718","0.965874840357599","0.0888877788877789","0.0569063652396986","0.313484614977212","0.625796604275532","0.549698109024446","0.719182200515534","0.526204437396008","0.667626320607164","0.417746758951157","0.475542353229843","0.664406794494514","0.954358974358974","0.0919986186652853","0.103029662211809","0.327154758092382","0.535293787219118","0.511505077742552","0.712074463127095","0.515977768651917","0.630017491947316","0.558279144780693","0.587852997213162","0.617560440737217","0.945741496598639","0.142796682173628","0.197279071617236","0.314045462186517","0.482729866927924","0.401955119257213","0.515486310870125","0.406575768517997","0.530535047769439","0.441538056089154","0.561028576922722","0.581876525200827","0.833140885202161","0.150419110373803","0.19784780029912","0.296614479740138","0.500573143709327","0.398032701774193","0.586611014277787","0.41876090329509","0.506454634429916","0.419918069555664","0.491275685716107","0.525874210279091","0.845670357262524","0.160803625682582","0.252077748286964","0.26464195945542","0.469490292549859","0.336890783466523","0.471807471711235","0.367457607921348","0.473676652310391","0.465578661341181","0.526547027742845","0.485511961964539","0.790631092154077","0.187163119559936","0.251031082205182","0.294870210545438","0.520051557514763","0.304241607088376","0.448371919720156","0.327538253877605","0.451869539394291","0.414979565205032","0.519791709296439","0.453340273125529","0.744792506360377","0.191669990422134","0.275083655566003","0.322901217588023","0.512753817194666","0.294960029255263","0.392969805878427","0.349387584729939","0.399282176248242","0.359243715327029","0.435542868466023","0.424191795645387","0.740431578519552","0.212580678559041","0.318905917607478","0.323252704774181","0.533227195607339","0.302118839148677","0.432236426400191","0.318845737710878","0.403345947513638","0.353983145311358","0.440587594795093","0.436705961963044","0.73254446540017","0.218625267331855","0.338379798777563","0.291326560561323","0.491364269037339","0.255483211880128","0.346453575729371","0.303825347173982","0.394433418985493","0.347699062748785","0.435016197598421","0.424825139797235","0.710817755673566","0.216765321655099","0.339516786028259","0.326475339871801","0.506460175909938","0.255575812626385","0.347117801220982","0.285965911304384","0.36025596438684","0.316910944419101","0.422929674836507","0.402154594462373","0.682850850731901","0.214500473293986","0.316488808837723","0.309782547926338","0.484705265741105","0.245268560785502","0.350623625996438","0.274463314988462","0.35699671210265","0.314632544527164","0.438691924485247"
"5","1","1","0","0","0.241084656084656","0.462266313932981","0.864691358024691","0.98","0.800493827160494","0.883950617283951","0.526402116402116","0.506287477954145","0.921520467836257","1","0","0","0.332845067060753","0.540391201314834","0.6919072736307","0.864795321637427","0.722205404578986","0.824093567251462","0.53128758715962","0.519497190689141","0.774587565123964","0.968148148148148","0.0888733488733489","0.0700440917107584","0.285712401552936","0.503177167160675","0.57154358568918","0.670063139641684","0.566282946371069","0.748483837717554","0.530821620931996","0.610479047275982","0.696514575111066","0.958276353276353","0.0826517595274045","0.116878525862014","0.308866573523433","0.492867342400366","0.535684280526402","0.68548837057609","0.551304091092533","0.654580630158546","0.420283695046023","0.518180576187001","0.591799955009294","0.89990022675737","0.14076717085065","0.158253035980979","0.313517029545507","0.457370960566659","0.405375544599974","0.566481578366478","0.419585426554757","0.521545534757045","0.480582886219361","0.582358906345717","0.557156224874718","0.854057167075101","0.156336616255626","0.186275874597579","0.289916048988259","0.506569453585164","0.393801426053197","0.532907369037679","0.436322728571301","0.496502608766533","0.448250778145013","0.49607077503746","0.517620855861581","0.814127161309663","0.180117419939591","0.245463425451205","0.308456625664243","0.484570420198628","0.35522653452346","0.473967088394955","0.399991771609624","0.527474557528728","0.412880588440348","0.444344269646057","0.466950010071832","0.796400598685742","0.168762015578981","0.29106124963025","0.307803999727738","0.514680489243682","0.334130889731303","0.475166464057019","0.329031255231232","0.432809147262759","0.354678084954645","0.474613983621772","0.48609431744187","0.760653903088623","0.185077183668012","0.273731117920911","0.3064823895767","0.49189710512627","0.29052203432126","0.41816693896485","0.322651536191859","0.401882769859497","0.375452668485602","0.486766445530639","0.456947305827331","0.735275721435946","0.201604594703959","0.312377615919161","0.29488763650795","0.502420223448857","0.324871922521473","0.40446103105639","0.294829517529442","0.395990990807057","0.346825784294875","0.469348311355171","0.45042213661488","0.708564043714951","0.212486672699948","0.310905700769952","0.324057610154973","0.509721732578744","0.287924427759729","0.37569014753702","0.296156090837074","0.378898595449408","0.319736641941819","0.433981705573452","0.4150857424726","0.685592523533105","0.214886179406071","0.340129302605026","0.301603589152614","0.50191422805364","0.269130240360872","0.371496591537398","0.294332909688504","0.372104252154392","0.312448821995866","0.427861495323356","0.417769025629274","0.688140111896565","0.211757651580057","0.347666112467456","0.313900689150891","0.539819548116798","0.246933946151231","0.337569057089306","0.294319925621479","0.369345543422293","0.324203847895518","0.442512929079062"
"6","1","1","0","0","0.267698412698413","0.533624338624339","0.888148148148148","0.96","0.913333333333333","0.96","0.565679012345679","0.511816578483245","0.952222222222222","0.99","0.0522222222222222","0.0111111111111111","0.318158133480631","0.523654779650652","0.781988304093567","0.850233918128655","0.616848985208118","0.747030539311241","0.487874670335971","0.556826625386997","0.81541953009386","0.986666666666667","0.0592857142857143","0.0557495590828924","0.273693145025873","0.497262841174719","0.538970680241212","0.674513282091826","0.53681104733212","0.690250812051578","0.560250630891311","0.566012172315687","0.641165335375862","0.956552706552707","0.109849934016601","0.141166805903648","0.292002487562564","0.519809651950702","0.489482665590475","0.652976620345041","0.474849245635848","0.622079226392952","0.428850730770665","0.48729163808494","0.609656044418109","0.920226757369614","0.124254116321353","0.120453489343964","0.300850821274035","0.477942555116735","0.472254178792142","0.617780308925761","0.469363480743645","0.544551583982926","0.489135069217135","0.545293755567655","0.531321582117198","0.841414814554407","0.124662035695361","0.185091719242718","0.345235477622951","0.534679422370594","0.381349214141863","0.546790254743883","0.43541908039843","0.494659089203148","0.444856663766076","0.519269133072506","0.49198361422886","0.797643709851978","0.192674372527786","0.238446686359095","0.312260038141982","0.556780935058532","0.363233120964891","0.500400749787642","0.38862863780401","0.492247245274567","0.400693470730295","0.4782673320909","0.476772594768064","0.75474764637838","0.20208080917808","0.261602599604549","0.314534421342365","0.50822596131986","0.33726405550501","0.440381273445781","0.347950969829341","0.463342627498566","0.388733764286043","0.491992871206495","0.454652124138433","0.743250949464327","0.227188068704977","0.332082991796888","0.328834013362059","0.522865426300394","0.31034523321478","0.431641018997797","0.339662736608315","0.424229425887441","0.383220689663294","0.464286917587708","0.415936972595443","0.727419546963286","0.197733401446811","0.333829602257053","0.332666358054067","0.517803314855869","0.297801098072466","0.398173280105325","0.344888278465842","0.440152835733667","0.336419868926075","0.461883230471726","0.443149822121693","0.712174226337054","0.197623086770535","0.311892299010929","0.311347485918214","0.500201619248221","0.279632849816115","0.362601238203951","0.27558118145582","0.384581547326359","0.362394244835924","0.443006387651696","0.427980676389301","0.682906744323119","0.236651446872869","0.341499067147338","0.31486035947959","0.522438840334045","0.26286608117393","0.357541574718428","0.284687862819581","0.384251198617649","0.310451657983476","0.443075086232415","0.422046455873361","0.684681885506324","0.20680394723056","0.360660460024618","0.289432953080543","0.522337679468633","0.237243144189449","0.343077992128623","0.289907354127436","0.386492792893084","0.345984163311856","0.412643733146455"
"7","1","1","0","0","0.254611992945326","0.621587301587302","0.924444444444445","1","0.87037037037037","0.856296296296296","0.581957671957672","0.656181657848324","0.97","1","0.0133597883597884","0.0296296296296296","0.394692883369354","0.631733459465658","0.623313649046363","0.830463249627336","0.727656232083477","0.837264457439896","0.488834654719588","0.476581872815103","0.822512112550427","0.974814814814815","0.0699823633156967","0.0532539682539683","0.300270843607766","0.483024366364196","0.568338228253937","0.682052828964706","0.618468371702088","0.723356505846927","0.585884648369073","0.640116969733828","0.657510894353","0.939245014245014","0.0917280649633591","0.144708175095172","0.275532912075308","0.487154941190428","0.494787590673584","0.668591940258607","0.526234020555486","0.638221185496727","0.503119846838221","0.496860848060122","0.629329680699667","0.904078609221466","0.122975087393807","0.2042082327798","0.321742282194528","0.545341301447143","0.434582532277052","0.57759168268759","0.456103424854706","0.564630608025839","0.469429754262121","0.51849363109028","0.518022705755928","0.867640972357512","0.150419268986086","0.185747094456902","0.311680768797879","0.521948087903854","0.413353458594691","0.530069445978736","0.377892651023474","0.520628119830142","0.453910777471383","0.574895671201272","0.483071511674058","0.793911455811292","0.164430508300622","0.231794209581519","0.322592202017711","0.517924124555854","0.348261421540424","0.495146018447452","0.363244587124757","0.458104035202258","0.408080554433324","0.453599185921129","0.475601816256194","0.780006071133653","0.151369697881515","0.288795768599065","0.301602885646619","0.51610155625035","0.370559888157556","0.464609557007002","0.328772026354136","0.454503818489644","0.351827410722533","0.472063227607847","0.462141887507564","0.755744905054545","0.198241090532751","0.292295545641685","0.293623840267778","0.495190888723754","0.282657834373021","0.409496094397384","0.324980078761263","0.439203702232443","0.395849545229845","0.49284549599333","0.416575611206346","0.724402980880243","0.196747815561542","0.309083211626183","0.297299650701002","0.546289503812679","0.302663280667056","0.391681769474578","0.314982265269506","0.420346212845395","0.372658289289984","0.439274747053317","0.436603065505724","0.699230103522043","0.20503804248557","0.32120202530964","0.324003596594047","0.51891732137463","0.255800295541369","0.359604549281221","0.289692808233569","0.380790351592745","0.334764516866676","0.4459881702854","0.446678576455417","0.697367149941079","0.211853322821211","0.317183606618872","0.30873250201722","0.510146512687723","0.250408743856376","0.347191780020993","0.297126632024539","0.366650850030953","0.317949419615706","0.409224513764509","0.439632964134005","0.681004026579291","0.230881320013712","0.317918893003711","0.311629879327492","0.525384139504537","0.266033291062396","0.35769878978438","0.274233697552075","0.356025148978276","0.335186089291855","0.411499223160689"
"8","1","1","0","0","0.258694885361552","0.478915343915344","0.92","0.94","0.904197530864198","1","0.55820987654321","0.53952380952381","0.97","1","0.0733333333333333","0.0187301587301587","0.27668767907932","0.48655638173698","0.629276076902496","0.708499025341131","0.658724630202958","0.788466536712151","0.490174551302002","0.540109969913891","0.790364491475603","0.986666666666667","0.0865087381754048","0.0488015071348405","0.318503001463023","0.510215948802156","0.61970380350457","0.721348980237869","0.666821885082421","0.762149242838898","0.465906978418389","0.514611975372928","0.665109861162493","0.930327635327635","0.113665591851866","0.0958034579990204","0.331230219116401","0.504954216385522","0.46309381833101","0.56206572777027","0.485447572324204","0.53103584345524","0.444736484197541","0.480305809687258","0.595610158000456","0.873396825396825","0.152592154513117","0.18679643723963","0.259089343483918","0.501962593734613","0.444765364464475","0.530475140826568","0.429788715612323","0.601575549154827","0.483355239310404","0.575618104928449","0.537392597299316","0.859458195622181","0.153765146742739","0.197935332291972","0.326758446105258","0.564786713622065","0.35436753499294","0.524197383477099","0.409291597858244","0.49765675957351","0.411457386885959","0.482283260376159","0.50017858733492","0.828006789787146","0.186120166060857","0.241059611866632","0.280309071213905","0.505817277066013","0.357070369259952","0.453437603434028","0.349589121034919","0.467072787823901","0.41720059663211","0.512672620736266","0.444831585288179","0.744904549826269","0.206426787659142","0.273587036340067","0.304483900804629","0.509541672020069","0.302960014995818","0.50204171540729","0.345452705927727","0.456320634352496","0.383649282193611","0.484376207355159","0.462103736163787","0.749064132792745","0.202502687654588","0.295828636359736","0.296829423009065","0.523862357346783","0.296065234078983","0.429454644783053","0.320391914340993","0.434972483947749","0.408974957207447","0.480431513638656","0.407703771408783","0.747864057636758","0.199406576073567","0.285898461257544","0.31152186482648","0.522168309624531","0.290013972556776","0.382374357047331","0.306416321937022","0.382793721558271","0.344434278259474","0.442014713415469","0.423311080524787","0.696820161354259","0.204635876195273","0.317797262540723","0.329604169020823","0.518092162083688","0.251897886761326","0.373115827877773","0.278493073385583","0.38697693582392","0.351627439972551","0.457002165782496","0.407067324328397","0.714133771758548","0.239528009091035","0.359594491763547","0.311486552388463","0.501493498253723","0.249275675506382","0.368880037973285","0.297269268958235","0.374098941225292","0.319140017968055","0.421306203119111","0.427592842300083","0.688456985814645","0.221394845833428","0.323050995917733","0.333611850001838","0.499739200092466","0.258155885283742","0.380525448538777","0.29588362074193","0.374375094885158","0.285417226717074","0.402331930525757"
"9","1","1","0","0","0.303007054673721","0.473465608465608","0.872592592592593","0.903950617283951","0.905925925925926","0.884444444444444","0.536075837742504","0.454012345679012","0.962222222222222","1","0.0462962962962963","0.0425925925925926","0.322882364549031","0.534036316280898","0.612671220534998","0.818252111760884","0.737485380116959","0.830701754385965","0.435025676937442","0.399945479166325","0.825608060167447","0.986666666666667","0.0721527238193905","0.0719875803209137","0.278750635188469","0.504088911655961","0.49971747965018","0.654072031275096","0.554304644516705","0.700686336793616","0.537652629254495","0.574777104121932","0.697602357514638","0.933219373219373","0.105210422532404","0.150688371124612","0.258525174546183","0.475521629353255","0.462480194075121","0.63242626994949","0.482069656192047","0.592587591244712","0.531510441798026","0.581110547685625","0.641367827794038","0.91275283446712","0.120890422118492","0.148510057072294","0.319809405567412","0.492973949621809","0.400341265524254","0.555369852151421","0.486348633864649","0.595658257273697","0.463807135747097","0.503840066063808","0.561462614619221","0.876492412927246","0.168293536166079","0.235134072663033","0.311594206701429","0.54491141102103","0.383602120943704","0.506423335619593","0.382932031135779","0.52735015759426","0.470187335221237","0.600645869079348","0.501634406280753","0.806461343522457","0.156296946786888","0.233936784816285","0.330767047135008","0.527934867283659","0.342564060336263","0.51586991516512","0.341809568345416","0.472159860285539","0.408342963115236","0.514641287556845","0.465869591960053","0.777456178275299","0.17446636816793","0.288193012550552","0.271508689651887","0.533702847857981","0.330466852574956","0.438369244072992","0.353903965492284","0.461665259394282","0.404638790821901","0.481184193238657","0.484563114999438","0.753559754267224","0.200708633494323","0.269825486295803","0.330603304291763","0.53956279703783","0.311865389382475","0.390239441525867","0.329825626949819","0.437338076551137","0.377751267347305","0.45852933251419","0.454489480476562","0.717326164642141","0.197872161619388","0.312244194755443","0.31393988504751","0.523950626374869","0.278973902523332","0.400689155267844","0.303028991541659","0.413870910323637","0.349111362150569","0.428153297874281","0.440827552865267","0.706070043310926","0.227763802414604","0.331971840243753","0.289586774537998","0.540934395623681","0.266673576914388","0.379403221400048","0.303218482218075","0.382598493426604","0.337184639627325","0.433067822288467","0.419292917421742","0.691832860487335","0.220921822863227","0.331827161751468","0.321398079148557","0.506764805312552","0.256132700868095","0.365102739795153","0.274743391551053","0.350199390800869","0.313510446993752","0.43735335569595","0.409167472051617","0.704360644746499","0.238297190818627","0.335374736952301","0.291421864039742","0.49669721473941","0.255168783255052","0.335539756680167","0.300152023691938","0.374916729946694","0.324383261162007","0.407010146534565"
"10","1","1","0","0","0.20657848324515","0.465555555555556","0.892839506172839","0.917037037037037","0.964444444444444","1","0.4281569664903","0.424435626102293","0.97","1","0.0444444444444444","0","0.265698145355008","0.466791788840292","0.720604288499025","0.85672514619883","0.74955777242671","0.860409356725146","0.633404139433551","0.514237513718938","0.765685093960956","0.968786717752235","0.0331746031746032","0.0417548500881834","0.277980643998502","0.502445111252541","0.554492666975426","0.766243386243386","0.595402011923085","0.689989817192882","0.561239604726195","0.668682207532782","0.706686869963444","0.943233618233618","0.120564555270438","0.10305750349868","0.308976612621456","0.519838685621293","0.479674770263006","0.626576614151434","0.456396723397523","0.577872980206572","0.475514270357724","0.512959601957808","0.635001758746535","0.937052154195011","0.123158561046298","0.13241081487142","0.309235523483044","0.566194874262021","0.407647926325595","0.559965606849699","0.427538634503535","0.568142177500656","0.429095788661332","0.490381717392395","0.535537870211353","0.846170631018212","0.143997573253639","0.218937202683354","0.312947572946419","0.512721084719407","0.403243860116565","0.548745472301103","0.428580644446848","0.527644305235465","0.481961567497402","0.547651816113398","0.521360056150553","0.818584704970551","0.176689897003834","0.276375553332729","0.315152275153679","0.534544547638374","0.360410204111717","0.443356969105364","0.375297719698842","0.454896121234003","0.382421137061965","0.489532691865886","0.477031618848824","0.765121443432902","0.180796088775801","0.271111208868329","0.345067793571619","0.533149478671852","0.352158691001501","0.434982630654251","0.351678103222774","0.427641168778209","0.365572262146418","0.454340676740175","0.41671204865574","0.753650407168765","0.171413549989523","0.288940891826255","0.26774226182837","0.502804715753579","0.270469776154501","0.39176094059095","0.311033836244671","0.445316899912442","0.372594574718962","0.479602828021725","0.422878346520201","0.726078408658186","0.192066685861924","0.292527296032578","0.307483322277701","0.50769624194414","0.302971018266961","0.394247396106605","0.312244236070404","0.386460957993921","0.366873562008891","0.45410034150773","0.412137977503406","0.73858834302042","0.229887805061342","0.344275066592976","0.294254642409083","0.506190964211842","0.244864828205875","0.392533809325814","0.318315895552946","0.392597206444856","0.338609229465924","0.461798090359459","0.402860896230122","0.653023601137876","0.224071464508866","0.329098161648204","0.274971942242421","0.506071025137829","0.260253921892439","0.359749623454655","0.287598991038865","0.379565967308172","0.310486756227868","0.419041418716025","0.383926138088397","0.662032785615394","0.195970305533461","0.334908518742064","0.312877750321991","0.527943459084365","0.263453529385872","0.342225599572668","0.273952955886253","0.366752807723298","0.335180863506799","0.406669142217815"
