"","chr","start","stop","haplotype_block","T0","selCoef","cov","Gen10_neutAFC99","Gen10_neutAFC999"
"1","Scz6wRH_1685;HRSCAF=1840",4772187,6198766,"Scz6wRH_1685;HRSCAF=1840_0.4_1_noThreshold",0.5,0.191847076086171,75,0.0617753383458647,0.0814442857142858
"2","Scz6wRH_1685;HRSCAF=1840",32608394,34088367,"Scz6wRH_1685;HRSCAF=1840_0.4_10_noThreshold",0.5,0.0993309989661362,59,0.0617753383458647,0.0814442857142858
"3","Scz6wRH_1685;HRSCAF=1840",36795510,38956971,"Scz6wRH_1685;HRSCAF=1840_0.4_12_noThreshold",0.5,0.133528923443246,61,0.0617753383458647,0.0814442857142858
"4","Scz6wRH_1685;HRSCAF=1840",42934620,44163706,"Scz6wRH_1685;HRSCAF=1840_0.4_13_noThreshold",0.5,0.372410241966011,66,0.0617753383458647,0.0814442857142858
"5","Scz6wRH_1685;HRSCAF=1840",44190595,45479680,"Scz6wRH_1685;HRSCAF=1840_0.4_14_noThreshold",0.5,0.179441878481866,60,0.0617753383458647,0.0814442857142858
"6","Scz6wRH_1685;HRSCAF=1840",46507720,48024060,"Scz6wRH_1685;HRSCAF=1840_0.4_15_noThreshold",0.5,0.0820235620639083,54,0.0617753383458647,0.0814442857142858
"7","Scz6wRH_1685;HRSCAF=1840",48688945,50353630,"Scz6wRH_1685;HRSCAF=1840_0.4_16_noThreshold",0.5,0.115681847287987,61,0.0617753383458647,0.0814442857142858
"8","Scz6wRH_1685;HRSCAF=1840",50414585,51901672,"Scz6wRH_1685;HRSCAF=1840_0.4_18_noThreshold",0.5,0.129024160168121,60,0.0617753383458647,0.0814442857142858
"9","Scz6wRH_1685;HRSCAF=1840",56707088,58071882,"Scz6wRH_1685;HRSCAF=1840_0.4_19_noThreshold",0.5,0.11229309334619,71,0.0617753383458647,0.0814442857142858
"10","Scz6wRH_1685;HRSCAF=1840",5472867,6699447,"Scz6wRH_1685;HRSCAF=1840_0.4_2_noThreshold",0.5,0.131852008463712,66,0.0617753383458647,0.0814442857142858
"11","Scz6wRH_1685;HRSCAF=1840",61255948,62624192,"Scz6wRH_1685;HRSCAF=1840_0.4_20_noThreshold",0.5,0.223734558611719,60,0.0617753383458647,0.0814442857142858
"12","Scz6wRH_1685;HRSCAF=1840",66653026,68072642,"Scz6wRH_1685;HRSCAF=1840_0.4_21_noThreshold",0.5,0.112567437715639,55,0.0617753383458647,0.0814442857142858
"13","Scz6wRH_1685;HRSCAF=1840",71384335,75947364,"Scz6wRH_1685;HRSCAF=1840_0.4_22_noThreshold",0.5,0.13909816870979,67,0.0617753383458647,0.0814442857142858
"14","Scz6wRH_1685;HRSCAF=1840",76241256,78926903,"Scz6wRH_1685;HRSCAF=1840_0.4_23_noThreshold",0.5,0.113509754996505,67,0.0617753383458647,0.0814442857142858
"15","Scz6wRH_1685;HRSCAF=1840",79255665,81341683,"Scz6wRH_1685;HRSCAF=1840_0.4_24_noThreshold",0.5,0.0992117898167174,74,0.0617753383458647,0.0814442857142858
"16","Scz6wRH_1685;HRSCAF=1840",82187705,84294699,"Scz6wRH_1685;HRSCAF=1840_0.4_25_noThreshold",0.5,0.141945252759361,61,0.0617753383458647,0.0814442857142858
"17","Scz6wRH_1685;HRSCAF=1840",85342075,87494999,"Scz6wRH_1685;HRSCAF=1840_0.4_26_noThreshold",0.5,0.125394835658257,61,0.0617753383458647,0.0814442857142858
"18","Scz6wRH_1685;HRSCAF=1840",88350827,89788810,"Scz6wRH_1685;HRSCAF=1840_0.4_28_noThreshold",0.5,0.138978317194581,64,0.0617753383458647,0.0814442857142858
"19","Scz6wRH_1685;HRSCAF=1840",91471652,92999914,"Scz6wRH_1685;HRSCAF=1840_0.4_29_noThreshold",0.5,0.195088713656955,64,0.0617753383458647,0.0814442857142858
"20","Scz6wRH_1685;HRSCAF=1840",6213999,8428422,"Scz6wRH_1685;HRSCAF=1840_0.4_3_noThreshold",0.5,0.105191575980066,60,0.0617753383458647,0.0814442857142858
"21","Scz6wRH_1685;HRSCAF=1840",93866380,95225265,"Scz6wRH_1685;HRSCAF=1840_0.4_30_noThreshold",0.5,0.21254299389108,74,0.0617753383458647,0.0814442857142858
"22","Scz6wRH_1685;HRSCAF=1840",96584986,97495934,"Scz6wRH_1685;HRSCAF=1840_0.4_31_noThreshold",0.5,0.102388415737018,67,0.0617753383458647,0.0814442857142858
"23","Scz6wRH_1685;HRSCAF=1840",102370663,103659247,"Scz6wRH_1685;HRSCAF=1840_0.4_32_noThreshold",0.5,0.149323001441843,59,0.0617753383458647,0.0814442857142858
"24","Scz6wRH_1685;HRSCAF=1840",103075714,104543593,"Scz6wRH_1685;HRSCAF=1840_0.4_33_noThreshold",0.5,0.108301910761637,53,0.0617753383458647,0.0814442857142858
"25","Scz6wRH_1685;HRSCAF=1840",105516005,108471416,"Scz6wRH_1685;HRSCAF=1840_0.4_34_noThreshold",0.5,0.109145943509187,66,0.0617753383458647,0.0814442857142858
"26","Scz6wRH_1685;HRSCAF=1840",109366746,110739351,"Scz6wRH_1685;HRSCAF=1840_0.4_35_noThreshold",0.5,0.14228470662947,61,0.0617753383458647,0.0814442857142858
"27","Scz6wRH_1685;HRSCAF=1840",110997755,115468313,"Scz6wRH_1685;HRSCAF=1840_0.4_36_noThreshold",0.5,0.0988557639838252,63,0.0617753383458647,0.0814442857142858
"28","Scz6wRH_1685;HRSCAF=1840",115489436,121632217,"Scz6wRH_1685;HRSCAF=1840_0.4_37_noThreshold",0.5,0.106409252906765,64,0.0617753383458647,0.0814442857142858
"29","Scz6wRH_1685;HRSCAF=1840",122511791,123843723,"Scz6wRH_1685;HRSCAF=1840_0.4_38_noThreshold",0.5,0.0927541126601753,64,0.0617753383458647,0.0814442857142858
"30","Scz6wRH_1685;HRSCAF=1840",127954533,130135547,"Scz6wRH_1685;HRSCAF=1840_0.4_39_noThreshold",0.5,0.164704657968625,64,0.0617753383458647,0.0814442857142858
"31","Scz6wRH_1685;HRSCAF=1840",8532475,9905491,"Scz6wRH_1685;HRSCAF=1840_0.4_4_noThreshold",0.5,0.0922988036224467,59,0.0617753383458647,0.0814442857142858
"32","Scz6wRH_1685;HRSCAF=1840",132744092,135614441,"Scz6wRH_1685;HRSCAF=1840_0.4_40_noThreshold",0.5,0.147257306183723,57,0.0617753383458647,0.0814442857142858
"33","Scz6wRH_1685;HRSCAF=1840",138057384,140239098,"Scz6wRH_1685;HRSCAF=1840_0.4_41_noThreshold",0.5,0.178691051469348,51,0.0617753383458647,0.0814442857142858
"34","Scz6wRH_1685;HRSCAF=1840",140317353,142264347,"Scz6wRH_1685;HRSCAF=1840_0.4_42_noThreshold",0.5,0.0913201607893892,64,0.0617753383458647,0.0814442857142858
"35","Scz6wRH_1685;HRSCAF=1840",142651579,144132097,"Scz6wRH_1685;HRSCAF=1840_0.4_43_noThreshold",0.5,0.162930150294545,62,0.0617753383458647,0.0814442857142858
"36","Scz6wRH_1685;HRSCAF=1840",145080634,146343083,"Scz6wRH_1685;HRSCAF=1840_0.4_44_noThreshold",0.5,0.171029090487479,61,0.0617753383458647,0.0814442857142858
"37","Scz6wRH_1685;HRSCAF=1840",10236732,13095311,"Scz6wRH_1685;HRSCAF=1840_0.4_5_noThreshold",0.5,0.183552438304868,59,0.0617753383458647,0.0814442857142858
"38","Scz6wRH_1685;HRSCAF=1840",20996001,25545225,"Scz6wRH_1685;HRSCAF=1840_0.4_7_noThreshold",0.5,0.107058634982583,61,0.0617753383458647,0.0814442857142858
"39","Scz6wRH_1685;HRSCAF=1840",26476141,30212380,"Scz6wRH_1685;HRSCAF=1840_0.4_8_noThreshold",0.5,0.107606280755813,65,0.0617753383458647,0.0814442857142858
"40","Scz6wRH_1685;HRSCAF=1840",1528247,2692038,"Scz6wRH_1693;HRSCAF=1917_0.4_1_noThreshold",0.5,0.158394232205536,62,0.0617753383458647,0.0814442857142858
