transcript,position,selCoef,T0_AF
TRINITY_DN10409_c0_g1_i1,80,0.146755713921576,0.916
TRINITY_DN10565_c0_g1_i1,190,0.117575194538202,0.038
TRINITY_DN11103_c0_g2_i1,146,0.104705328592547,0.6075
TRINITY_DN12782_c0_g1_i1,303,0.142075845108729,0.0045
TRINITY_DN13107_c0_g1_i1,13,0.0571347137441801,0.5925
TRINITY_DN13188_c0_g1_i1,426,0.137203454816823,0.2435
TRINITY_DN13323_c0_g1_i1,804,0.151031425060594,0.7305
TRINITY_DN13761_c0_g1_i2,104,0.10238231257405,0.856
TRINITY_DN14443_c0_g1_i1,168,0.107414870912116,0.0125
TRINITY_DN14642_c0_g1_i2,79,0.0791106337393107,0.4865
TRINITY_DN14729_c0_g1_i1,275,0.0773727441147977,0.1795
TRINITY_DN14845_c0_g1_i2,506,0.0734551927853392,0.355
TRINITY_DN14944_c0_g1_i2,228,0.0754819718190062,0.477
TRINITY_DN15287_c0_g1_i1,24,0.107753239569284,0.08
TRINITY_DN15489_c0_g1_i3,96,0.1435492931153,0.029
TRINITY_DN15586_c0_g1_i4,88,0.0586875005316819,0.3025
TRINITY_DN15586_c0_g1_i4,121,0.0821545365334905,0.3995
TRINITY_DN15586_c0_g1_i4,154,0.0795450993062557,0.2515
TRINITY_DN15779_c0_g1_i2,354,0.072440385743967,0.619
TRINITY_DN16078_c0_g1_i1,494,0.212629788618094,0.7995
TRINITY_DN16175_c0_g1_i2,309,0.151443352797497,0.006
TRINITY_DN16375_c0_g1_i1,199,0.100443559146211,0.044
TRINITY_DN16398_c0_g1_i6,505,0.166936744932831,0.007
TRINITY_DN16692_c0_g1_i1,131,0.143302616709634,0.01
TRINITY_DN16699_c0_g1_i1,265,0.0786023478257067,0.631
TRINITY_DN16721_c0_g1_i1,58,0.195612773168192,0.8645
TRINITY_DN16731_c0_g1_i2,27,0.112984961643476,0.9595
TRINITY_DN16753_c0_g1_i1,185,0.133326194647525,0.0235
TRINITY_DN1704_c0_g1_i2,49,0.0805318575087021,0.75
TRINITY_DN1704_c0_g1_i2,56,0.0950428462806826,0.785
TRINITY_DN17083_c0_g1_i1,196,0.105479528587278,0.062
TRINITY_DN17262_c0_g1_i9,340,0.118465612066352,0.7585
TRINITY_DN17262_c0_g1_i9,356,0.0775936132297155,0.1265
TRINITY_DN17264_c0_g1_i1,270,0.151178480363434,0.8535
TRINITY_DN17338_c0_g1_i1,137,0.16364178092875,0.9525
TRINITY_DN17449_c0_g1_i1,290,0.10414719311063,0.471
TRINITY_DN17454_c0_g1_i5,121,0.114472405462745,0.922
TRINITY_DN17469_c0_g1_i1,175,0.0730464400852086,0.802
TRINITY_DN17471_c1_g1_i1,240,0.105525600852036,0.7725
TRINITY_DN17476_c0_g1_i2,480,0.129800177275763,0.9585
TRINITY_DN17544_c0_g2_i1,462,0.0714373446512805,0.7705
TRINITY_DN17760_c0_g1_i1,435,0.0814410225327843,0.779
TRINITY_DN17800_c0_g1_i1,86,0.122515027806261,0.0455
TRINITY_DN17905_c1_g1_i3,731,0.0887488866608213,0.8045
TRINITY_DN17978_c0_g1_i2,462,0.156466730070052,0.925
TRINITY_DN18024_c0_g1_i1,594,0.291912015109013,0.279
TRINITY_DN18080_c0_g1_i1,588,0.0762807275793844,0.1425
TRINITY_DN18150_c0_g1_i3,425,0.228523226070852,0.0315
TRINITY_DN18173_c1_g1_i2,149,0.0979455388310937,0.2815
TRINITY_DN18177_c0_g1_i2,752,0.108201316033228,0.885
TRINITY_DN18240_c0_g1_i1,236,0.0897247191237749,0.044
TRINITY_DN18270_c0_g1_i3,973,0.0925018217533618,0.7755
TRINITY_DN18304_c0_g1_i4,230,0.0679946873361165,0.254
TRINITY_DN18309_c0_g1_i7,274,0.0651366821007256,0.767
TRINITY_DN18354_c0_g1_i1,702,0.126291261671951,0.7955
TRINITY_DN18434_c1_g1_i3,341,0.0724488819642362,0.3755
