"","chr","start","stop","haplotype_block","T0","selCoef","cov","Gen10_neutAFC99","Gen10_neutAFC999","midpoint"
"1","Scz6wRH_1685;HRSCAF=1840",4772187,6198766,"Scz6wRH_1685;HRSCAF=1840_0.4_1_noThreshold",0.034,0.191847076086171,75,0.026,0.0362857142857143,5485476.5
"10","Scz6wRH_1685;HRSCAF=1840",5472867,6699447,"Scz6wRH_1685;HRSCAF=1840_0.4_2_noThreshold",0.4905,0.131852008463712,66,0.0675000000000001,0.0866434285714287,6086157
"20","Scz6wRH_1685;HRSCAF=1840",6213999,8428422,"Scz6wRH_1685;HRSCAF=1840_0.4_3_noThreshold",0.2505,0.105191575980066,60,0.0610742857142858,0.0789295714285716,7321210.5
"31","Scz6wRH_1685;HRSCAF=1840",8532475,9905491,"Scz6wRH_1685;HRSCAF=1840_0.4_4_noThreshold",0.366,0.0922988036224467,59,0.0657142857142857,0.0862857142857143,9218983
"37","Scz6wRH_1685;HRSCAF=1840",10236732,13095311,"Scz6wRH_1685;HRSCAF=1840_0.4_5_noThreshold",0.0755,0.183552438304868,59,0.0367885714285715,0.0505008571428573,11666021.5
"38","Scz6wRH_1685;HRSCAF=1840",20996001,25545225,"Scz6wRH_1685;HRSCAF=1840_0.4_7_noThreshold",0.254,0.107058634982583,61,0.0608571428571428,0.0765731428571432,23270613
"39","Scz6wRH_1685;HRSCAF=1840",26476141,30212380,"Scz6wRH_1685;HRSCAF=1840_0.4_8_noThreshold",0.35325,0.107606280755813,65,0.0641785714285715,0.0858217857142858,28344260.5
"2","Scz6wRH_1685;HRSCAF=1840",32608394,34088367,"Scz6wRH_1685;HRSCAF=1840_0.4_10_noThreshold",0.19375,0.0993309989661362,59,0.0545385714285715,0.0699669285714292,33348380.5
"3","Scz6wRH_1685;HRSCAF=1840",36795510,38956971,"Scz6wRH_1685;HRSCAF=1840_0.4_12_noThreshold",0.121,0.133528923443246,61,0.0450028571428572,0.0572865714285716,37876240.5
"4","Scz6wRH_1685;HRSCAF=1840",42934620,44163706,"Scz6wRH_1685;HRSCAF=1840_0.4_13_noThreshold",0.192,0.372410241966011,66,0.0542885714285715,0.0688577142857144,43549163
"5","Scz6wRH_1685;HRSCAF=1840",44190595,45479680,"Scz6wRH_1685;HRSCAF=1840_0.4_14_noThreshold",0.5415,0.179441878481866,60,0.0684999999999999,0.0873574285714286,44835137.5
"6","Scz6wRH_1685;HRSCAF=1840",46507720,48024060,"Scz6wRH_1685;HRSCAF=1840_0.4_15_noThreshold",0.30725,0.0820235620639083,54,0.0632507142857143,0.0773216428571429,47265890
"7","Scz6wRH_1685;HRSCAF=1840",48688945,50353630,"Scz6wRH_1685;HRSCAF=1840_0.4_16_noThreshold",0.37525,0.115681847287987,61,0.0658214285714285,0.0861071428571428,49521287.5
"8","Scz6wRH_1685;HRSCAF=1840",50414585,51901672,"Scz6wRH_1685;HRSCAF=1840_0.4_18_noThreshold",0.0925,0.129024160168121,60,0.0405014285714286,0.0575002857142858,51158128.5
"9","Scz6wRH_1685;HRSCAF=1840",56707088,58071882,"Scz6wRH_1685;HRSCAF=1840_0.4_19_noThreshold",0.4145,0.11229309334619,71,0.0675,0.0837858571428572,57389485
"11","Scz6wRH_1685;HRSCAF=1840",61255948,62624192,"Scz6wRH_1685;HRSCAF=1840_0.4_20_noThreshold",0.0275,0.223734558611719,60,0.0232157142857143,0.0319297142857145,61940070
"12","Scz6wRH_1685;HRSCAF=1840",66653026,68072642,"Scz6wRH_1685;HRSCAF=1840_0.4_21_noThreshold",0.1605,0.112567437715639,55,0.0506428571428571,0.0652145714285715,67362834
"13","Scz6wRH_1685;HRSCAF=1840",71384335,75947364,"Scz6wRH_1685;HRSCAF=1840_0.4_22_noThreshold",0.12275,0.13909816870979,67,0.0461807142857143,0.0603928571428571,73665849.5
"14","Scz6wRH_1685;HRSCAF=1840",76241256,78926903,"Scz6wRH_1685;HRSCAF=1840_0.4_23_noThreshold",0.178,0.113509754996505,67,0.0525742857142858,0.0677145714285715,77584079.5
"15","Scz6wRH_1685;HRSCAF=1840",79255665,81341683,"Scz6wRH_1685;HRSCAF=1840_0.4_24_noThreshold",0.30275,0.0992117898167174,74,0.0632528571428572,0.0832502857142858,80298674
"16","Scz6wRH_1685;HRSCAF=1840",82187705,84294699,"Scz6wRH_1685;HRSCAF=1840_0.4_25_noThreshold",0.1275,0.141945252759361,61,0.0470714285714286,0.0593571428571429,83241202
"17","Scz6wRH_1685;HRSCAF=1840",85342075,87494999,"Scz6wRH_1685;HRSCAF=1840_0.4_26_noThreshold",0.2185,0.125394835658257,61,0.05593,0.0753571428571428,86418537
"18","Scz6wRH_1685;HRSCAF=1840",88350827,89788810,"Scz6wRH_1685;HRSCAF=1840_0.4_28_noThreshold",0.2825,0.138978317194581,64,0.0622157142857143,0.0800715714285715,89069818.5
"19","Scz6wRH_1685;HRSCAF=1840",91471652,92999914,"Scz6wRH_1685;HRSCAF=1840_0.4_29_noThreshold",0.066,0.195088713656955,64,0.0348571428571429,0.0462862857142858,92235783
"21","Scz6wRH_1685;HRSCAF=1840",93866380,95225265,"Scz6wRH_1685;HRSCAF=1840_0.4_30_noThreshold",0.5945,0.21254299389108,74,0.0679300000000001,0.0880718571428572,94545822.5
"22","Scz6wRH_1685;HRSCAF=1840",96584986,97495934,"Scz6wRH_1685;HRSCAF=1840_0.4_31_noThreshold",0.7735,0.102388415737018,67,0.0580714285714287,0.0742142857142857,97040460
"23","Scz6wRH_1685;HRSCAF=1840",102370663,103659247,"Scz6wRH_1685;HRSCAF=1840_0.4_32_noThreshold",0.1045,0.149323001441843,59,0.0415,0.0540722857142859,103014955
"24","Scz6wRH_1685;HRSCAF=1840",103075714,104543593,"Scz6wRH_1685;HRSCAF=1840_0.4_33_noThreshold",0.2395,0.108301910761637,53,0.0585,0.0722148571428573,103809653.5
"25","Scz6wRH_1685;HRSCAF=1840",105516005,108471416,"Scz6wRH_1685;HRSCAF=1840_0.4_34_noThreshold",0.196,0.109145943509187,66,0.0562857142857143,0.0720014285714289,106993710.5
"26","Scz6wRH_1685;HRSCAF=1840",109366746,110739351,"Scz6wRH_1685;HRSCAF=1840_0.4_35_noThreshold",0.76875,0.14228470662947,61,0.0581785714285715,0.0758942142857146,110053048.5
"27","Scz6wRH_1685;HRSCAF=1840",110997755,115468313,"Scz6wRH_1685;HRSCAF=1840_0.4_36_noThreshold",0.27075,0.0988557639838252,63,0.0618221428571429,0.0781074285714286,113233034
"28","Scz6wRH_1685;HRSCAF=1840",115489436,121632217,"Scz6wRH_1685;HRSCAF=1840_0.4_37_noThreshold",0.26725,0.106409252906765,64,0.0603935714285714,0.0752503571428572,118560826.5
"29","Scz6wRH_1685;HRSCAF=1840",122511791,123843723,"Scz6wRH_1685;HRSCAF=1840_0.4_38_noThreshold",0.1685,0.0927541126601753,64,0.0516442857142857,0.0626432857142858,123177757
"30","Scz6wRH_1685;HRSCAF=1840",127954533,130135547,"Scz6wRH_1685;HRSCAF=1840_0.4_39_noThreshold",0.326,0.164704657968625,64,0.0628600000000001,0.0780002857142858,129045040
"32","Scz6wRH_1685;HRSCAF=1840",132744092,135614441,"Scz6wRH_1685;HRSCAF=1840_0.4_40_noThreshold",0.1365,0.147257306183723,57,0.0475,0.0612142857142857,134179266.5
"33","Scz6wRH_1685;HRSCAF=1840",138057384,140239098,"Scz6wRH_1685;HRSCAF=1840_0.4_41_noThreshold",0.08125,0.178691051469348,51,0.0384642857142857,0.0504642857142857,139148241
"34","Scz6wRH_1685;HRSCAF=1840",140317353,142264347,"Scz6wRH_1685;HRSCAF=1840_0.4_42_noThreshold",0.32875,0.0913201607893892,64,0.0641078571428572,0.0786785714285714,141290850
"35","Scz6wRH_1685;HRSCAF=1840",142651579,144132097,"Scz6wRH_1685;HRSCAF=1840_0.4_43_noThreshold",0.116,0.162930150294545,62,0.0454285714285714,0.0594294285714288,143391838
"36","Scz6wRH_1685;HRSCAF=1840",145080634,146343083,"Scz6wRH_1685;HRSCAF=1840_0.4_44_noThreshold",0.33125,0.171029090487479,61,0.0636092857142857,0.0809652142857145,145711858.5
