"","x"
"1",0.001109088
"2",0.00217936
"3",0.000709696
"4",0.004847136
"5",0.001198448
"6",0.001919488
"7",0.00161592
"8",6.4e-08
"9",5.92e-07
"10",2.752e-06
"11",1.6e-08
"12",1.92e-06
"13",2.544e-06
"14",4.8e-08
"15",3.2e-08
"16",0.001557216
"17",2.88e-07
"18",1.7264e-05
"19",0.001344224
"20",0.000421648
"21",0.000449248
"22",0.001742704
"23",4.16e-07
"24",3.52e-07
"25",7.36e-07
"26",2.08e-07
"27",3.2e-08
"28",4.8e-08
"29",8e-08
"30",1.76e-07
"31",1.1552e-05
"32",2.888e-05
"33",0.002192928
"34",7.488e-06
"35",0.0011156
"36",0.00102504
"37",0.000465504
"38",0.001264896
"39",4.8e-07
"40",4e-07
"41",0.000494176
"42",0.00013248
"43",0.000529232
"44",0.005277216
"45",0.001188752
"46",3.2e-08
"47",0.002759504
"48",3.248e-06
"49",0.000484288
"50",0.000970864
"51",2.08e-07
"52",0.002704288
"53",4.728e-05
"54",2.624e-06
"55",6.336e-06
"56",0.002149824
"57",0.000917232
"58",0.00182848
"59",5.7344e-05
"60",0.000949024
"61",1.6e-08
"62",3.04e-07
"63",0.5
"64",0.00197184
"65",0.001266624
"66",8.96e-07
"67",2.4e-07
"68",6.2944e-05
"69",1.76e-07
"70",8.64e-07
"71",2.56e-07
"72",0.000210592
"73",0.000144592
"74",0.00250144
"75",0.001464208
"76",0.000131888
"77",0.002233104
"78",9.5904e-05
"79",0.001196256
"80",0.00221272
"81",0.001823024
"82",0.002540256
"83",3.4192e-05
"84",0.00024288
"85",0.000221296
"86",0.002261152
"87",0.5
"88",0.00220992
"89",2.56e-07
"90",0.002883136
"91",0.005410816
"92",0.002928784
"93",0.000238688
"94",0.002485856
"95",1.92e-07
"96",3.2e-08
"97",1.6e-08
"98",3.2e-08
"99",3.2e-08
"100",0.000596496
"101",0.001455488
"102",0.000536224
"103",0.003134912
"104",0.00054136
"105",9.6e-08
"106",0.000871472
"107",0.000191792
"108",4.64e-07
"109",0.5
"110",1.6e-08
"111",0.002006176
"112",0.003977488
"113",0.005384144
"114",0.000459168
"115",6.656e-06
"116",6.4e-06
"117",9.232e-06
"118",0.002222432
"119",0.000133424
"120",0.000641552
"121",0.001396992
"122",1.6e-07
"123",4e-07
"124",2.224e-05
"125",7.52e-07
"126",0.002743616
"127",0.000466304
"128",4.8e-08
"129",2.24e-07
"130",9.6e-08
"131",2.4e-07
"132",6.4e-08
"133",0.000495648
"134",0.001993216
"135",9.6e-07
"136",0.000111488
"137",0.000832608
"138",0.002925424
"139",4.208e-06
"140",5.248e-06
"141",2.688e-06
"142",6.176e-06
"143",0.000668928
"144",0.000757072
"145",0.002279856
"146",2.24e-07
"147",0.00024792
"148",0.001987824
"149",0.002345024
"150",2.0992e-05
"151",0.001037504
"152",0.001151584
"153",4.624e-06
"154",1.536e-06
"155",0.003587344
"156",0.002303456
"157",0.001560576
"158",0.000192592
"159",0.002075792
"160",0.00022584
"161",0.000508032
"162",0.000474368
"163",0.5
"164",4.2096e-05
"165",0.002064672
"166",1.6e-08
"167",8e-08
"168",1.44e-07
"169",0.00136248
"170",0.000161664
"171",0.003802688
"172",7.2e-07
"173",2.24e-07
"174",2.304e-06
"175",1.104e-06
"176",0.001033024
"177",1.376e-06
"178",4.08e-06
"179",1.3808e-05
"180",5.4432e-05
"181",3.152e-05
"182",2.2272e-05
"183",0.000139712
"184",1.12e-07
"185",0.003430464
"186",7.04e-07
"187",1.376e-06
"188",0.000387904
"189",1.92e-07
"190",0.000123872
"191",1.6e-08
"192",0.001001248
"193",0.007975552
"194",0.000232176
"195",6.9232e-05
"196",4.16e-07
"197",0.5
"198",0.002702144
"199",2.048e-06
"200",3.776e-06
"201",3.0336e-05
"202",3.68e-07
"203",1.616e-06
"204",1.984e-06
"205",0.008813632
"206",0.000223536
"207",1.168e-06
"208",5.44e-07
"209",0.00141856
"210",0.001497632
"211",3.52e-07
"212",9.152e-06
"213",0.000204528
"214",4.8688e-05
"215",3.712e-06
"216",3.36e-07
"217",3.2e-08
"218",0.002985264
"219",8.8e-07
"220",9.6e-08
"221",1.92e-07
"222",1.088e-06
"223",1.44e-07
"224",0.00116312
"225",0.000167232
"226",5.8304e-05
"227",0.000688032
"228",1.2464e-05
"229",1.696e-06
"230",8e-08
"231",0.001037488
"232",0.001631264
"233",6.4e-08
"234",2.992e-06
"235",1.792e-06
"236",9.44e-07
"237",1.28e-07
"238",1.76e-07
"239",4.8e-08
"240",6.224e-06
"241",2.32e-06
"242",7.792e-06
"243",0.00046504
"244",0.005059808
"245",0.001098768
"246",3.68e-07
"247",0.003062672
"248",0.00096136
"249",3.84e-07
"250",1.6e-07
"251",0.000297712
"252",0.001130688
"253",1.728e-05
"254",4.8e-08
"255",5.92e-06
"256",0.000598784
"257",0.000503728
"258",3.248e-06
"259",2.704e-06
"260",5.92e-07
"261",8.16e-07
"262",2.4e-06
"263",6.24e-07
"264",1.6e-08
"265",2.096e-06
"266",4.8e-07
"267",2.08e-07
"268",4.8e-08
"269",1.28e-07
"270",4.544e-06
"271",4.48e-07
"272",1.92e-07
"273",1.36e-06
"274",3.44e-06
"275",8.88e-06
"276",2.464e-06
"277",1.28e-07
"278",0.000283968
"279",0.003933584
"280",1.504e-06
"281",0.002806544
"282",0.000671936
"283",2.448e-06
"284",8.32e-07
"285",0.001613536
"286",3.84e-07
"287",2.56e-07
"288",1.12e-07
"289",8e-08
"290",1.12e-07
"291",8.8e-07
"292",1.12e-07
"293",1.072e-06
"294",3.68e-07
"295",1.056e-06
"296",6.56e-07
"297",9.6e-08
"298",1.76e-07
"299",3.52e-07
"300",9.6e-08
"301",0.001882528
"302",6.4e-07
"303",0.002362064
"304",3.2e-08
"305",2.56e-07
"306",4.8e-08
"307",9.6e-07
"308",1.6e-08
"309",1.92e-07
"310",6.4e-08
"311",4.784e-06
"312",1.168e-06
"313",1.392e-06
"314",3.52e-07
"315",2.4e-07
"316",2.48e-06
"317",1.44e-07
"318",1.44e-07
"319",1.44e-07
"320",3.84e-07
"321",5.184e-06
"322",4.8e-07
"323",0.001619424
"324",0.000409984
"325",0.000923232
"326",3.2e-08
"327",4.16e-07
"328",0.000121584
"329",9.76e-07
"330",1.6e-08
"331",0.000533888
"332",0.000453808
"333",4.368e-06
"334",8e-08
"335",0.000547744
"336",0.002135264
"337",0.000176048
"338",1.5984e-05
"339",4.6928e-05
"340",4.32e-07
"341",4.176e-06
"342",1.44e-07
"343",9.456e-06
"344",0.001246048
"345",0.00168408
"346",0.00137032
"347",0.000957696
"348",0.001342336
"349",0.00280496
"350",0.000231936
"351",0.000779024
"352",1.28e-07
"353",0.000302784
"354",0.002474448
"355",0.00145672
"356",0.000312624
"357",3.552e-06
"358",2.928e-06
"359",0.5
"360",0.001286432
"361",1.12e-07
"362",0.00098656
"363",0.003252624
"364",0.000790816
"365",0.001110112
"366",0.003706768
"367",0.003250416
"368",0.001809504
"369",0.000252176
"370",0.000291776
"371",0.004995872
"372",7.68e-07
"373",3.728e-06
"374",2.352e-06
"375",0.000285104
"376",6.704e-06
"377",4e-07
"378",4.352e-06
"379",3.04e-07
"380",1.76e-07
"381",0.001045632
"382",0.00021936
"383",0.001451584
"384",0.000799648
"385",0.001761568
"386",0.00053792
"387",2.096e-06
"388",3.136e-06
"389",4.224e-06
"390",5.416e-05
"391",9.6e-08
"392",6.4e-08
"393",6.08e-07
"394",2.512e-06
"395",0.00427712
"396",6.4e-08
"397",4.8e-07
"398",0.000152352
"399",2.592e-06
"400",0.000218112
"401",1.088e-06
"402",2.08e-07
"403",0.000121024
"404",8e-07
"405",0.000107056
"406",1.488e-05
"407",0.000351024
"408",0.002783808
"409",4.8e-08
"410",8e-08
"411",0.0001088
"412",0.000111248
"413",7.04e-07
"414",0.000198864
"415",6.24e-07
"416",6.0256e-05
"417",1.28e-07
"418",0.002503728
"419",0.000283168
"420",4.8e-08
"421",0.00200168
"422",0.004296864
"423",2.4e-07
"424",8e-08
"425",3.36e-07
"426",0.001060944
"427",8.64e-07
"428",0.000603296
"429",3.04e-07
"430",5.12e-07
"431",4.64e-07
"432",2.096e-06
"433",0.002088528
"434",2.24e-07
"435",5.12e-07
"436",3.2e-08
"437",0.00267096
"438",1.6e-07
"439",0.000409296
"440",0.000809872
"441",0.00032392
"442",0.000326496
"443",8e-08
"444",2.56e-07
"445",3.84e-07
"446",1.28e-07
"447",0.001988672
"448",0.000506256
"449",7.36e-07
"450",1.6e-08
"451",0.00174896
"452",0.001018832
"453",0.00054984
"454",0.000180016
"455",8e-08
"456",0.000355584
"457",0.000545008
"458",1.776e-06
"459",0.000527424
"460",0.001674832
"461",0.00108704
"462",0.000282176
"463",0.000242848
"464",0.001083408
"465",0.000171968
"466",0.001066352
"467",8e-07
"468",6.9808e-05
"469",1.12e-07
"470",4.8e-08
"471",0.001378512
"472",0.006622992
"473",6.432e-06
"474",4.96e-07
"475",2.304e-06
"476",0.000518
"477",1.024e-05
"478",0.001018672
"479",0.00060592
"480",0.000452832
"481",0.001311824
"482",1.2e-06
"483",8.5648e-05
"484",0.000300448
"485",0.002610688
"486",0.000154304
"487",2.192e-06
"488",1.92e-07
"489",0.000920256
"490",0.000668256
"491",4.96e-07
"492",5.92e-07
"493",2.08e-07
"494",3.2e-07
"495",7.04e-07
"496",0.002167152
"497",0.001768416
"498",0.002922336
"499",0.00158344
"500",1.8368e-05
"501",4.8e-08
"502",0.000766288
"503",3.04e-07
"504",0.001010928
"505",7.2e-07
"506",0.000225488
"507",0.001756752
"508",2.72e-07
"509",0.000101184
"510",0.002369984
"511",0.5
"512",5.44e-07
"513",0.002179968
"514",5.6e-07
"515",1.6e-08
"516",3.6224e-05
"517",3.5776e-05
"518",0.001129616
"519",0.002209376
"520",4.96e-07
"521",1.44e-07
"522",8e-08
"523",1.6e-08
"524",1.6e-08
"525",3.2e-08
"526",4.96e-07
"527",0.003975312
"528",1.28e-07
"529",0.004549904
"530",0.000316304
"531",0.000504848
"532",0.00019752
"533",0.000597456
"534",1.6e-08
"535",0.00075664
